,Model,Level,EC,F1 score
377,BLASTp,1,1.2.1.73,0.7857142857142857
378,BLASTp,1,1.2.1.76,0.8571428571428571
379,BLASTp,1,1.2.1.77,0.9655172413793104
380,BLASTp,1,1.2.1.79,0.4137931034482759
381,BLASTp,1,1.2.1.8,0.8372093023255814
382,BLASTp,1,1.2.1.80,1.0
383,BLASTp,1,1.2.1.83,1.0
384,BLASTp,1,1.2.1.84,1.0
385,BLASTp,1,1.2.1.85,0.6666666666666666
386,BLASTp,1,1.2.1.86,1.0
387,BLASTp,1,1.2.1.88,0.9655172413793104
388,BLASTp,1,1.2.1.9,0.8387096774193549
389,BLASTp,1,1.2.3.1,0.8571428571428572
390,BLASTp,1,1.2.3.3,0.9743589743589743
391,BLASTp,1,1.2.4.1,0.9545454545454546
392,BLASTp,1,1.2.4.2,0.9333333333333332
393,BLASTp,1,1.2.4.4,0.888888888888889
394,BLASTp,1,1.2.5.1,1.0
395,BLASTp,1,1.2.5.2,0.5405405405405405
396,BLASTp,1,1.2.5.3,0.5
397,BLASTp,1,1.2.7.1,0.7317073170731707
398,BLASTp,1,1.2.7.11,0.7272727272727272
399,BLASTp,1,1.2.7.12,0.9743589743589743
400,BLASTp,1,1.2.7.3,0.7500000000000001
401,BLASTp,1,1.2.7.4,0.7058823529411764
402,BLASTp,1,1.2.7.5,1.0
403,BLASTp,1,1.2.7.7,0.8
404,BLASTp,1,1.2.7.8,0.972972972972973
405,BLASTp,1,1.2.98.1,0.8260869565217392
406,BLASTp,1,1.2.99.6,0.8500000000000001
407,BLASTp,1,1.2.99.7,0.8444444444444444
408,BLASTp,1,1.20.4.1,0.888888888888889
409,BLASTp,1,1.20.4.3,0.962962962962963
410,BLASTp,1,1.20.4.4,0.9056603773584906
411,BLASTp,1,1.20.9.1,0.9032258064516129
412,BLASTp,1,1.21.1.1,0.967741935483871
413,BLASTp,1,1.21.4.1,1.0
414,BLASTp,1,1.21.4.2,0.8571428571428572
415,BLASTp,1,1.21.98.1,1.0
416,BLASTp,1,1.21.98.4,1.0
417,BLASTp,1,1.3.1.1,0.7200000000000001
418,BLASTp,1,1.3.1.103,0.689655172413793
419,BLASTp,1,1.3.1.104,0.8571428571428571
420,BLASTp,1,1.3.1.106,0.6206896551724138
421,BLASTp,1,1.3.1.108,0.7586206896551724
422,BLASTp,1,1.3.1.12,0.7222222222222223
423,BLASTp,1,1.3.1.124,1.0
424,BLASTp,1,1.3.1.13,0.962962962962963
425,BLASTp,1,1.3.1.14,0.9565217391304348
426,BLASTp,1,1.3.1.2,0.9655172413793104
427,BLASTp,1,1.3.1.22,0.8750000000000001
428,BLASTp,1,1.3.1.25,0.962962962962963
429,BLASTp,1,1.3.1.28,0.7500000000000001
430,BLASTp,1,1.3.1.32,0.8666666666666666
431,BLASTp,1,1.3.1.33,0.962962962962963
432,BLASTp,1,1.3.1.34,0.9285714285714286
433,BLASTp,1,1.3.1.42,0.7999999999999999
434,BLASTp,1,1.3.1.43,0.5454545454545454
435,BLASTp,1,1.3.1.44,0.75
436,BLASTp,1,1.3.1.45,0.6666666666666666
437,BLASTp,1,1.3.1.48,0.962962962962963
438,BLASTp,1,1.3.1.54,0.5925925925925927
439,BLASTp,1,1.3.1.6,0.8275862068965518
440,BLASTp,1,1.3.1.70,0.9333333333333333
441,BLASTp,1,1.3.1.74,0.4210526315789474
442,BLASTp,1,1.3.1.75,1.0
443,BLASTp,1,1.3.1.76,0.9454545454545454
444,BLASTp,1,1.3.1.83,1.0
445,BLASTp,1,1.3.1.84,0.8
446,BLASTp,1,1.3.1.85,0.7333333333333334
447,BLASTp,1,1.3.1.86,0.6153846153846153
448,BLASTp,1,1.3.1.87,0.36363636363636365
449,BLASTp,1,1.3.1.89,0.9777777777777777
450,BLASTp,1,1.3.1.9,0.924731182795699
451,BLASTp,1,1.3.1.91,0.9873417721518987
452,BLASTp,1,1.3.1.93,1.0
453,BLASTp,1,1.3.1.94,1.0
454,BLASTp,1,1.3.1.95,0.7272727272727273
455,BLASTp,1,1.3.1.98,1.0
456,BLASTp,1,1.3.3.11,1.0
457,BLASTp,1,1.3.3.15,0.7777777777777778
458,BLASTp,1,1.3.3.3,1.0
459,BLASTp,1,1.3.3.4,0.8260869565217391
460,BLASTp,1,1.3.3.5,0.9285714285714286
461,BLASTp,1,1.3.3.6,0.9583333333333334
462,BLASTp,1,1.3.5.1,0.9126213592233009
463,BLASTp,1,1.3.5.2,0.9952606635071091
464,BLASTp,1,1.3.5.3,1.0
465,BLASTp,1,1.3.5.5,0.8461538461538461
466,BLASTp,1,1.3.5.6,0.8799999999999999
467,BLASTp,1,1.3.7.11,0.8571428571428571
468,BLASTp,1,1.3.7.15,1.0
469,BLASTp,1,1.3.7.3,1.0
470,BLASTp,1,1.3.7.5,1.0
471,BLASTp,1,1.3.7.7,1.0
472,BLASTp,1,1.3.7.8,0.9375
473,BLASTp,1,1.3.8.1,0.5925925925925927
474,BLASTp,1,1.3.8.2,0.5454545454545454
475,BLASTp,1,1.3.8.3,0.6111111111111113
476,BLASTp,1,1.3.8.4,0.7567567567567567
477,BLASTp,1,1.3.8.6,1.0
478,BLASTp,1,1.3.8.7,0.5263157894736841
479,BLASTp,1,1.3.8.8,0.7142857142857143
480,BLASTp,1,1.3.98.1,0.7777777777777778
481,BLASTp,1,1.3.98.3,0.9885057471264368
482,BLASTp,1,1.3.99.16,0.7555555555555555
483,BLASTp,1,1.3.99.28,0.7272727272727272
484,BLASTp,1,1.3.99.29,0.6315789473684211
485,BLASTp,1,1.3.99.31,0.6285714285714287
486,BLASTp,1,1.3.99.32,0.7317073170731706
487,BLASTp,1,1.3.99.33,0.8947368421052632
488,BLASTp,1,1.3.99.4,1.0
489,BLASTp,1,1.3.99.5,0.8292682926829269
490,BLASTp,1,1.4.1.1,0.9811320754716981
491,BLASTp,1,1.4.1.11,0.9714285714285714
492,BLASTp,1,1.4.1.13,0.5454545454545454
493,BLASTp,1,1.4.1.14,0.8108108108108109
494,BLASTp,1,1.4.1.16,1.0
495,BLASTp,1,1.4.1.18,0.9696969696969697
496,BLASTp,1,1.4.1.2,0.8571428571428571
497,BLASTp,1,1.4.1.21,1.0
498,BLASTp,1,1.4.1.23,0.9375
499,BLASTp,1,1.4.1.24,1.0
500,BLASTp,1,1.4.1.3,0.85
501,BLASTp,1,1.4.1.4,0.8260869565217391
502,BLASTp,1,1.4.1.9,0.8888888888888888
503,BLASTp,1,1.4.3.1,0.88
504,BLASTp,1,1.4.3.10,0.6666666666666666
505,BLASTp,1,1.4.3.13,0.9032258064516129
506,BLASTp,1,1.4.3.16,0.9795918367346939
507,BLASTp,1,1.4.3.19,0.8387096774193549
508,BLASTp,1,1.4.3.2,0.7999999999999999
509,BLASTp,1,1.4.3.21,0.9473684210526316
510,BLASTp,1,1.4.3.3,0.923076923076923
511,BLASTp,1,1.4.3.4,0.6875000000000001
512,BLASTp,1,1.4.3.5,0.9951690821256038
513,BLASTp,1,1.4.4.2,1.0
514,BLASTp,1,1.4.7.1,0.7906976744186046
515,BLASTp,1,1.4.9.1,0.8979591836734694
516,BLASTp,1,1.4.99.5,0.689655172413793
517,BLASTp,1,1.4.99.6,0.64
518,BLASTp,1,1.5.1.2,0.98989898989899
519,BLASTp,1,1.5.1.20,0.8799999999999999
520,BLASTp,1,1.5.1.25,0.9655172413793104
521,BLASTp,1,1.5.1.28,0.923076923076923
522,BLASTp,1,1.5.1.3,0.9583333333333334
523,BLASTp,1,1.5.1.30,0.7200000000000001
524,BLASTp,1,1.5.1.33,1.0
525,BLASTp,1,1.5.1.34,0.888888888888889
526,BLASTp,1,1.5.1.36,0.5454545454545454
527,BLASTp,1,1.5.1.38,0.8
528,BLASTp,1,1.5.1.39,0.9032258064516129
529,BLASTp,1,1.5.1.42,0.6842105263157895
530,BLASTp,1,1.5.1.43,0.8666666666666666
